id,title,slug,author,status,publish_date,comments_count,title_length,description_length,content_length,has_image,external_image,needs_truncation
150,"[Tyra'Kadémie] Premiers cours : le calendrier, acte I  <br>",tyrakadémie-premiers-cours-le-calendrier-acte-i-br,Tyra,published,2018-09-06 14:55:26.017000,7,59,1739,8088,Y,Y,Y
151,[Alerte Pandémie] Le pire reste à venir,alerte-pandémie-le-pire-reste-à-venir,EdwardGnomden,published,2018-09-06 23:40:42.301000,23,39,111,6043,Y,Y,N
152,C'est l'histoire d'un mec... un con,cest-lhistoire-dun-mec-un-conbr,BadoloSaiynz,published,2018-09-07 08:05:45.926000,13,35,28,3909,Y,Y,N
153,"Ligue de Condate, Saison XIII: back to basics",ligue-de-condate-saison-xiii-back-to-basics,Legalodec,published,2018-09-09 15:56:40.040000,12,45,551,3036,Y,Y,Y
154,Site de gestion: level up !,site-de-gestion-level-up-1,Bagouze,published,2018-09-09 22:14:16.248000,47,27,237,7193,Y,Y,Y
155,Le Mythe des Blenos de Sao Polo<br>,le-mythe-des-blenos-de-sao-polobr,BadoloSaiynz,published,2018-09-10 20:20:06.047000,7,35,28,6605,Y,Y,N
156,Ligue Cathim Saison 6,ligue-cathim-saison-6,Kaoragh,published,2018-09-10 21:51:47.149000,5,21,841,2042,Y,Y,Y
157,Dictionnaire Cathîm,dictionnaire-cathîm,Kaoragh,published,2018-09-10 22:00:45.517000,8,19,150,2198,Y,Y,N
158,Le Hafling Reporter,le-hafling-reporter,Kaoragh,published,2018-09-10 22:10:46.173000,0,19,57,1451,Y,Y,N
159,Les sauveurs sont arrivés !!,les-sauveurs-sont-arrivés,Pilaf,published,2018-09-11 11:51:05.853000,14,28,242,2515,Y,Y,Y
160,Braquage chez les Terrors !,braquage-chez-les-terrorsnbsp,Legalodec,published,2018-09-12 13:46:45.065000,8,27,604,4056,Y,Y,Y
161,La gazette de Condate&nbsp;: J1<br>,la-gazette-de-condatenbsp-j1br,Elpigeon,published,2018-09-12 17:43:06.559000,21,35,42,12464,Y,Y,N
162,[Mercato] L’offrande des Sauveurs,mercato-loffrande-des-sauveurs,longusbarbe,published,2018-09-12 23:14:01.690000,11,33,294,9440,Y,Y,Y
163,Une J1 qui annonce la couleur,une-j1-qui-annonce-la-couleur,Chatman,published,2018-09-13 09:34:20.129000,16,29,452,2091,Y,Y,Y
164,La Horde élit domicile à...<br>,la-horde-élit-domicile-àbr,Tyra,published,2018-09-13 10:39:48.530000,26,31,251,3380,Y,Y,Y
165,Trucage au sort et J-1/2,trucage-au-sort-et-j-12,Kaoragh,published,2018-09-15 02:21:54.925000,8,24,445,4626,Y,Y,Y
166,duel de corpos : la J1,duel-de-corpos-la-j1,Acryosis,published,2018-09-16 03:57:15.861000,5,22,282,4831,Y,Y,Y
167,<strong>Tyra’Kadémie&nbsp;: Le nouveau</strong><br>,strongtyrakadémienbsp-le-nouveaustrongbr,Tyra,published,2018-09-17 13:40:03.023000,24,51,853,9578,Y,Y,Y
168,Une J1 suprenante !,une-j1-suprenante,Chatman,published,2018-09-18 18:04:02.491000,3,19,145,4110,Y,Y,N
169,"Friday, Monday… les Night Beavers en route vers le doublé !",friday-monday-les-night-beavers-en-route-vers-le-doublé,Legalodec,published,2018-09-19 13:06:05.997000,31,59,512,4002,Y,Y,Y
170,La J de la J1,la-j-de-la-j1,Kaoragh,published,2018-09-20 11:39:00.917000,15,13,463,11701,Y,Y,Y
